年度,類別,獎項,得獎名單
104,節目獎,科學節目獎 ,台灣製造大解密（參賽單位：新加坡商全球紀實有限公司台灣分公司）
104,節目獎,兒童少年節目獎,跟著達人追夢趣（參賽單位：客家電視台）
104,節目獎,行腳節目獎 ,勝利催落去（參賽單位：財團法人公共電視文化事業基金會）
104,節目獎,綜藝節目獎,全球中文音樂榜上榜（參賽單位：聯意製作股份有限公司）
104,節目獎,綜合節目獎 ,一字千金（參賽單位：財團法人公共電視文化事業基金會）
104,節目獎,動畫節目獎,觀測站少年（參賽單位：財團法人公共電視文化事業基金會）
104,個人獎,戲劇節目男主角獎,藍正龍／妹妹（報名單位：八大電視股份有限公司）
104,個人獎,戲劇節目女主角獎,朱芷瑩／客家劇場新丁花開（報名單位：客家電視台）
104,個人獎,戲劇節目男配角獎,蘇達／C.S.I.C鑑識英雄（報名單位：中國電視事業股份有限公司）
104,個人獎,戲劇節目女配角獎,許瑋甯／16個夏天（報名單位：聯意製作股份有限公司）
104,個人獎,戲劇節目新進演員獎,從缺
104,個人獎,迷你劇集／電視電影男主角獎,莊凱勛／公視人生劇展回家路上（報名單位：安澤映畫有限公司）
104,個人獎,迷你劇集／電視電影女主角獎,嚴藝文／公視人生劇展天使的收音機（報名單位：金享亮企業有限公司）
104,個人獎,迷你劇集／電視電影男配角獎,吳慷仁／麻醉風暴（報名單位：財團法人公共電視文化事業基金會）
104,個人獎,迷你劇集／電視電影女配角獎,陳秋貞／公視人生劇展浪子單飛（報名單位：喜融融電影有限公司）
104,個人獎,戲劇節目導演獎,許富翔／16個夏天（報名單位：聯意製作股份有限公司）
104,個人獎,迷你劇集／電視電影導演獎,蕭力修／麻醉風暴（報名單位：財團法人公共電視文化事業基金會）
104,個人獎,非戲劇類節目導演獎,劉志雄／浩克慢遊（報名單位：財團法人公共電視文化事業基金會）
104,個人獎,非戲劇類節目導播獎,黃慧娟／音樂萬萬歲3（報名單位：財團法人公共電視文化事業基金會）
104,個人獎,戲劇節目編劇獎,呂蒔媛／客家劇場出境事務所（報名單位：客家電視台）
104,個人獎,迷你劇集／電視電影編劇獎,黃建銘、王卉竺／麻醉風暴（報名單位：財團法人公共電視文化事業基金會）
104,個人獎,教育文化節目主持人獎,方念華／TVBS看板人物（報名單位：聯意製作股份有限公司）
104,個人獎,兒童少年節目主持人獎,小兵【薛紀綱】、邵庭、班傑、五熊／流言追追追（報名單位：財團法人公共電視文化事業基金會）
104,個人獎,行腳節目主持人獎,阮安祖、林信廷／勝利催落去（報名單位：財團法人公共電視文化事業基金會）
104,個人獎,綜藝節目主持人獎,黃子佼／全球中文音樂榜上榜（報名單位：聯意製作股份有限公司）
104,個人獎,綜合節目主持人獎,Soac【劉永偉】、Joel【陳義中】／雙廚出任務第2季（報名單位：新加坡商全球紀實有限公司台灣分公司）
104,個人獎,攝影獎,胡午正／客家劇場新丁花開（報名單位：客家電視台）
104,個人獎,剪輯獎,粘文、林欣民／綻放真台灣5魚之島：台灣好吃魚（報名單位：美商國家地理頻道有限公司台灣分公司）
104,個人獎,音效獎,蔣震道、許嵐婷、陳惟君、游寓紳／超級夥伴（報名單位：緯來電視網股份有限公司）
104,個人獎,燈光獎,鍾瓊婷／公視人生劇展偷窺心事（報名單位：三上影像創作有限公司）
104,個人獎,美術設計獎,陳嘉晟／客家劇場新丁花開（報名單位：客家電視台）
104,特別貢獻獎,特別貢獻獎,周遊女士
104,特別貢獻獎,特別貢獻獎,常楓先生
105,節目獎,戲劇節目獎,一把青（參賽單位：財團法人公共電視文化事業基金會、製作單位：台北創造電影有限公司）
105,節目獎,迷你劇集／電視電影獎,川流之島（參賽單位：中國電視事業股份有限公司、製作單位：瀚草影視文化事業股份有限公司）
105,節目獎,教育文化節目獎 ,青春愛讀書（參賽單位：財團法人慈濟傳播人文志業基金會、製作單位：財團法人慈濟傳播人文志業基金會）
105,節目獎,科學節目獎 ,流言追追追（參賽單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
105,節目獎,兒童少年節目獎,小O事件簿（參賽單位：客家電視台、製作單位：客家電視台）
105,節目獎,行腳節目獎 ,作客他鄉（參賽單位：客家電視台、製作單位：八方匯盈數位製作股份有限公司）
105,節目獎,綜藝節目獎,星光大道（參賽單位：中華電視股份有限公司/酷瞧新媒體股份有限公司、製作單位：金星娛樂事業股份有限公司）
105,節目獎,綜合節目獎 ,跟著dapin去旅行（參賽單位：財團法人原住民族文化事業基金會、製作單位：財團法人原住民族文化事業基金會）
105,節目獎,動畫節目獎,吉娃斯愛科學（參賽單位：靖洋傳媒科技股份有限公司/原金國際有限公司、製作單位：原金國際有限公司）
105,個人獎,戲劇節目男主角獎,吳慷仁／一把青（報名單位：財團法人公共電視文化事業基金會、製作單位：台北創造電影有限公司）
105,個人獎,戲劇節目女主角獎,柯佳嬿／必娶女人（報名單位：東森電視事業股份有限公司、製作單位：東森電視事業股份有限公司/三鳳有限公司）
105,個人獎,戲劇節目男配角獎,賀一航／長不大的爸爸（報名單位：香港商福斯國際電視網有限公司台灣分公司、製作單位：香港商福斯國際電視網有限公司台灣分公司）
105,個人獎,戲劇節目女配角獎,劉瑞琪／失去你的那一天（報名單位：中國電視事業股份有限公司、製作單位：大川大立數位影音股份有限公司）
105,個人獎,戲劇節目新進演員獎,連俞涵／一把青（報名單位：財團法人公共電視文化事業基金會、製作單位：台北創造電影有限公司）
